"date","cross","trt","plate","plate.no","well.no","length.pix","calib.pix","length.mm"
2019-03-14,"F09M12",4.5,6,"2-6A","2-6A-1",212.88,21.4733333333333,9.91369140018628
2019-03-20,"F02M03",4.5,7,"2-7C","2-7C-2",264.21,21.7333333333333,12.1569018404908
2019-03-20,"F02M03",4.5,7,"2-7C","2-7C-4",252.85,21.7333333333333,11.6342024539877
2019-03-20,"F02M03",4.5,7,"2-7D","2-7D-1",261.91,21.7333333333333,12.0510736196319
2019-03-24,"F02M03",4.5,7,"2-7C","2-7C-5",255.11,21.8433333333333,11.6790782847551
2019-03-24,"F02M03",4.5,7,"2-7D","2-7D-5",253.67,21.8433333333333,11.6131542804822
2019-03-24,"F02M03",4.5,7,"2-7D","2-7D-6",265.58,21.8433333333333,12.1584007324889
2019-03-28,"F02M03",4.5,7,"2-7C","2-7C-3",258.79,21.7066666666667,11.9221437346437
2019-03-30,"F02M03",4.5,7,"2-7D","2-7D-4",220.64,21.58,10.224281742354
2019-04-01,"F02M03",4.5,7,"2-7C","2-7C-6",260.06,21.6166666666667,12.030531996916
2019-04-01,"F02M03",4.5,7,"2-7D","2-7D-2",256.43,21.6166666666667,11.8626060138782
2019-03-08,"F09M12",4.5,8,"2-8A","2-8A-2",225.11,21.3933333333333,10.5224368962294
2019-03-08,"F09M12",4.5,8,"2-8A","2-8A-3",216.49,21.3933333333333,10.1195076347772
2019-03-08,"F09M12",4.5,8,"2-8A","2-8A-6",226.2,21.3933333333333,10.5733873480835
2019-03-08,"F09M12",4.5,8,"2-8B","2-8B-1",235.78,21.3933333333333,11.0211904019944
2019-03-08,"F09M12",4.5,8,"2-8B","2-8B-6",223.54,21.3933333333333,10.4490495481458
2019-03-10,"F09M12",4.5,8,"2-8B","2-8B-4",189.91,21.2366666666667,8.94255218960917
2019-03-12,"F09M12",4.5,8,"2-8A","2-8A-1",199.32,21.2533333333333,9.37829360100376
2019-03-24,"F09M12",4.5,8,"2-8A","2-8A-4",227.71,21.8833333333333,10.4056359482102
2019-03-24,"F09M12",4.5,8,"2-8B","2-8B-5",221.32,21.8833333333333,10.1136329017517
2019-03-18,"F10M14",4.5,9,"2-9D","2-9D-3",232.2,21.6533333333333,10.7235221674877
2019-03-20,"F06M06",4.5,9,"2-9A","2-9A-2",237.62,21.5466666666667,11.0281559405941
2019-03-20,"F06M06",4.5,9,"2-9A","2-9A-5",209.64,21.5466666666667,9.72957920792079
2019-03-20,"F06M06",4.5,9,"2-9B","2-9B-5",245.62,21.5466666666667,11.3994430693069
2019-03-22,"F10M14",4.5,9,"2-9D","2-9D-4",205.71,21.7866666666667,9.44201346389229
2019-03-24,"F06M06",4.5,9,"2-9A","2-9A-4",240.66,21.6433333333333,11.1193593100262
2019-03-24,"F06M06",4.5,9,"2-9B","2-9B-2",238.39,21.6433333333333,11.0144771292161
2019-03-24,"F06M06",4.5,9,"2-9B","2-9B-6",242.9,21.6433333333333,11.2228553827199
2019-03-24,"F10M14",4.5,9,"2-9C","2-9C-5",239.02,21.6433333333333,11.0435853996612
2019-03-24,"F10M14",4.5,9,"2-9D","2-9D-2",228.51,21.6433333333333,10.5579855228708
2019-03-26,"F10M14",4.5,9,"2-9C","2-9C-2",214.14,21.6833333333333,9.87578785549577
2019-03-26,"F10M14",4.5,9,"2-9D","2-9D-1",241.6,21.6833333333333,11.1421983089931
2019-03-28,"F10M14",4.5,9,"2-9C","2-9C-6",233.55,21.6966666666667,10.7643263174067
2019-03-30,"F10M14",4.5,9,"2-9C","2-9C-4",206.86,21.8,9.48899082568807
2019-03-30,"F06M06",4.5,9,"2-9B","2-9B-1",237.74,21.8,10.905504587156
2019-04-01,"F06M06",4.5,9,"2-9A","2-9A-1",242.43,21.6866666666667,11.1787580694743
2019-04-01,"F06M06",4.5,9,"2-9A","2-9A-6",239.53,21.6866666666667,11.0450353519828
2019-04-01,"F06M06",4.5,9,"2-9B","2-9B-3",244.07,21.6866666666667,11.2543805717799
2019-04-01,"F06M06",4.5,9,"2-9B","2-9B-4",244.35,21.6866666666667,11.2672917307101
2019-04-01,"F10M14",4.5,9,"2-9C","2-9C-1",230.54,21.6866666666667,10.630494927759
2019-04-03,"F06M06",4.5,9,"2-9A","2-9A-3",324.36,28.6766666666667,11.3109380448681
2019-03-05,"F11M14",4.5,10,"2-10A","2-10A-4",191.77,21.5666666666667,8.8919629057187
2019-03-05,"F11M14",4.5,10,"2-10B","2-10B-2",224.72,21.5666666666667,10.4197836166924
2019-03-05,"F01M02",4.5,10,"2-10D","2-10D-1",247.28,21.5666666666667,11.4658423493045
2019-03-08,"F11M14",4.5,10,"2-10A","2-10A-4",211.48,21.56,9.80890538033395
