"population","temperature","sire","dam","dam.sire","block","residual","additive","nonadd","maternal","trait"
"LO-Cisco","9.0°C",72.0622553802091,569.531984315751,41.5185449943249,69.6684334748133,1261.48452933522,288.249021520836,166.0741799773,497.469728935542,"ADD"
"LO-Cisco","9.0°C",84.3590940390089,583.508271812625,67.5272590862445,39.7647693240775,1228.8244456089,337.436376156036,270.109036344978,499.149177773617,"ADD"
"LO-Cisco","9.0°C",79.3292994397528,565.102552734007,85.7733328296774,0,1264.44219636229,317.317197759011,343.09333131871,485.773253294254,"ADD"
"LO-Cisco","9.0°C",72.0790069277636,597.971347692133,75.3628658471711,11.4317402887346,1268.18183091238,288.316027711055,301.451463388684,525.892340764369,"ADD"
"LO-Cisco","9.0°C",64.2272240599597,602.416843993215,86.4073606272131,0,1217.58006073821,256.908896239839,345.629442508852,538.189619933256,"ADD"
"LO-Cisco","9.0°C",57.2350729036882,632.571310246842,67.6520133735588,31.8837737682017,1218.5280608226,228.940291614753,270.608053494235,575.336237343154,"ADD"
"LO-Cisco","9.0°C",76.1155085072796,587.384005110731,42.0370573771602,21.3339120265714,1255.41686410453,304.462034029118,168.148229508641,511.268496603452,"ADD"
"LO-Cisco","9.0°C",65.6003490191292,510.979482700651,115.946235028474,1.04690992842332e-05,1284.4763679414,262.401396076517,463.784940113894,445.379133681522,"ADD"
"LO-Cisco","9.0°C",65.7389130684647,571.387909696148,50.9477671956655,2.83032829879438,1285.52284805318,262.955652273859,203.791068782662,505.648996627683,"ADD"
"LO-Cisco","9.0°C",81.1811814354237,646.476906364668,49.9360431766057,0,1199.18214937892,324.724725741695,199.744172706423,565.295724929244,"ADD"
"LO-Cisco","9.0°C",46.7297685718646,686.66084511073,97.8590420885567,4.3465832514865e-07,1243.06661690715,186.919074287458,391.436168354227,639.931076538865,"ADD"
"LO-Cisco","9.0°C",102.415292615612,584.55871522354,30.570778700388,2.50023405075309e-06,1278.17844597413,409.661170462447,122.283114801552,482.143422607928,"ADD"
"LO-Cisco","9.0°C",42.1469710306147,620.20885761131,91.2781405135148,60.6960471159731,1274.7990286191,168.587884122459,365.112562054059,578.061886580696,"ADD"
"LO-Cisco","9.0°C",73.1622568142822,616.024977286931,56.8659861720153,0.00625650063127283,1302.43583281953,292.649027257129,227.463944688061,542.862720472649,"ADD"
"LO-Cisco","9.0°C",38.8940202552527,569.609536756514,119.758669241387,10.2319558387154,1236.23957698014,155.576081021011,479.034676965547,530.715516501261,"ADD"
"LO-Cisco","9.0°C",88.6798797760589,602.490038016077,67.3787827512863,12.8566829444598,1214.6763721811,354.719519104236,269.515131005145,513.810158240018,"ADD"
"LO-Cisco","9.0°C",76.6337677858766,590.927501505939,83.4577788430604,0,1211.88222051264,306.535071143506,333.831115372242,514.293733720063,"ADD"
"LO-Cisco","9.0°C",49.6434642370091,551.729532752585,85.7997327499501,7.73433994274687,1283.59777740242,198.573856948036,343.1989309998,502.086068515576,"ADD"
"LO-Cisco","9.0°C",82.3099415595669,565.835935786852,45.3261913765437,12.4143039912819,1299.01361201743,329.239766238267,181.304765506175,483.525994227286,"ADD"
"LO-Cisco","9.0°C",38.8346209688338,586.139274800296,96.6191373654819,1.4612777272263e-05,1290.79596823891,155.338483875335,386.476549461928,547.304653831462,"ADD"
"LO-Cisco","9.0°C",55.5586188800899,507.444375235395,53.8213960105146,14.0449846407431,1247.43514128613,222.234475520359,215.285584042058,451.885756355305,"ADD"
"LO-Cisco","9.0°C",84.7316574455106,595.976831691624,80.5593457326609,1.34473875114503,1240.15546036965,338.926629782042,322.237382930644,511.245174246113,"ADD"
"LO-Cisco","9.0°C",67.3215328531256,589.623479465731,66.422947350661,34.9302885289875,1338.46699223843,269.286131412502,265.691789402644,522.301946612605,"ADD"
"LO-Cisco","9.0°C",41.8419063064452,509.624737944746,109.127589240815,77.0292610371449,1235.52246528081,167.367625225781,436.510356963259,467.7828316383,"ADD"
"LO-Cisco","9.0°C",43.3689534809684,537.390670487319,64.3331062910481,2.24844898636564,1339.38055374602,173.475813923874,257.332425164193,494.02171700635,"ADD"
"LO-Cisco","9.0°C",35.2908446037659,411.757914541659,117.705526431588,64.7780206201982,1297.48313766643,141.163378415064,470.822105726353,376.467069937893,"ADD"
"LO-Cisco","9.0°C",68.4812951244859,608.772798859762,73.9183343570991,61.4238934624041,1322.95194729978,273.925180497943,295.673337428396,540.291503735276,"ADD"
"LO-Cisco","9.0°C",40.6332340520065,571.538451660414,114.28478005559,17.3276912985785,1232.71642211787,162.532936208026,457.139120222362,530.905217608407,"ADD"
"LO-Cisco","9.0°C",84.9932710608383,459.026159725759,121.472050323587,3.84525160697391e-05,1227.39590868564,339.973084243353,485.888201294347,374.032888664921,"ADD"
"LO-Cisco","9.0°C",38.5743848973099,555.936738969218,68.8518652848199,0,1246.81757159615,154.297539589239,275.40746113928,517.362354071908,"ADD"
"LO-Cisco","9.0°C",44.613867699448,596.223350015953,75.5061062767307,0.281856468036812,1261.14381719424,178.455470797792,302.024425106923,551.609482316505,"ADD"
"LO-Cisco","9.0°C",53.2400988036395,621.413902102919,78.9648267257307,0,1186.50484222909,212.960395214558,315.859306902923,568.173803299279,"ADD"
"LO-Cisco","9.0°C",74.573130682841,610.672625819868,46.0415081030015,1.25496037808107e-06,1212.32791886013,298.292522731364,184.166032412006,536.099495137027,"ADD"
"LO-Cisco","9.0°C",58.4031464963934,657.067454344846,99.8604872313643,0.0215400305707461,1295.84563042154,233.612585985574,399.441948925457,598.664307848453,"ADD"
"LO-Cisco","9.0°C",60.3744980395739,536.862194067306,83.6701012067182,8.54995844815205e-06,1289.19944483944,241.497992158296,334.680404826873,476.487696027732,"ADD"
"LO-Cisco","9.0°C",65.2497613753644,587.615861350279,59.9843925882423,32.6056934732707,1182.61887288035,260.999045501457,239.937570352969,522.366099974915,"ADD"
"LO-Cisco","9.0°C",52.6058024090754,558.572290266392,127.959023643113,0,1343.51491158831,210.423209636301,511.836094572452,505.966487857317,"ADD"
"LO-Cisco","9.0°C",23.7309354198212,689.545787149079,107.12047604423,0.000145923669595942,1253.86334823414,94.9237416792848,428.481904176922,665.814851729258,"ADD"
"LO-Cisco","9.0°C",74.9642409218499,580.539214782177,50.1015698289075,0,1348.74596591548,299.8569636874,200.40627931563,505.574973860327,"ADD"
"LO-Cisco","9.0°C",40.3843469889515,461.729496517131,105.551083309668,29.1281528988621,1266.07196629839,161.537387955806,422.204333238671,421.345149528179,"ADD"
"LO-Cisco","9.0°C",80.2058467468509,656.896356725292,70.1203722686712,0.032543744111653,1299.44688802995,320.823386987404,280.481489074685,576.690509978441,"ADD"
"LO-Cisco","9.0°C",69.3128268337745,584.480687650394,67.0055446396137,7.5592905348006e-05,1261.63316145993,277.251307335098,268.022178558455,515.16786081662,"ADD"
"LO-Cisco","9.0°C",78.0540348637626,536.325690156939,44.8708840621075,3.21518415802108e-05,1328.70666847777,312.21613945505,179.48353624843,458.271655293177,"ADD"
